# Distance(km)    Depth(km)    Pressure(bar)    Vs(km/s)
2169.344426    102.000000    34519.598400    4.563720
2213.536001    102.000000    34519.598400    4.601890
2257.727519    102.000000    34519.598400    4.619160
2301.919035    102.000000    34519.598400    4.619680
2346.110604    102.000000    34519.598400    4.598140
2390.302282    102.000000    34519.598400    4.580250
2434.494123    102.000000    34519.598400    4.574950
2394.158800    102.000000    34519.598400    4.572420
2438.326779    102.000000    34519.598400    4.575100
2482.494609    102.000000    34519.598400    4.575320
2526.662351    102.000000    34519.598400    4.570610
2570.830065    102.000000    34519.598400    4.566420
2614.997811    102.000000    34519.598400    4.583440
2659.165648    102.000000    34519.598400    4.612490
2663.027537    102.000000    34519.598400    4.567790
22.144511    102.500000    34680.142000    nan
66.433551    102.500000    34680.142000    nan
110.722646    102.500000    34680.142000    nan
155.011833    102.500000    34680.142000    nan
199.301148    102.500000    34680.142000    nan
247.434266    102.500000    34680.142000    nan
291.712722    102.500000    34680.142000    nan
335.991046    102.500000    34680.142000    nan
380.269277    102.500000    34680.142000    nan
424.547455    102.500000    34680.142000    nan
468.825618    102.500000    34680.142000    nan
513.103805    102.500000    34680.142000    nan
557.382054    102.500000    34680.142000    nan
601.660404    102.500000    34680.142000    nan
645.938894    102.500000    34680.142000    nan
694.054920    102.500000    34680.142000    4.441590
738.320277    102.500000    34680.142000    4.468980
782.585522    102.500000    34680.142000    4.465800
826.850697    102.500000    34680.142000    4.476260
871.115844    102.500000    34680.142000    4.474930
915.381002    102.500000    34680.142000    4.468490
959.646214    102.500000    34680.142000    4.457800
1003.911520    102.500000    34680.142000    4.432080
1048.176963    102.500000    34680.142000    4.389080
1052.028010    102.500000    34680.142000    4.377120
1096.278320    102.500000    34680.142000    4.338780
1140.528479    102.500000    34680.142000    4.318440
1184.778531    102.500000    34680.142000    4.295240
1229.028520    102.500000    34680.142000    4.258410
1273.278491    102.500000    34680.142000    4.250870
1317.528487    102.500000    34680.142000    4.260710
1361.778553    102.500000    34680.142000    4.272570
1406.028733    102.500000    34680.142000    4.272280
1454.120281    102.500000    34680.142000    4.282840
1498.353139    102.500000    34680.142000    4.234870
1542.585877    102.500000    34680.142000    4.211830
1586.818542    102.500000    34680.142000    4.222280
1631.051181    102.500000    34680.142000    4.248920
1675.283842    102.500000    34680.142000    4.288850
1719.516573    102.500000    34680.142000    4.342230
1763.749420    102.500000    34680.142000    4.396260
1767.605696    102.500000    34680.142000    4.384180
1811.819174    102.500000    34680.142000    4.414780
1856.032495    102.500000    34680.142000    4.424300
1900.245710    102.500000    34680.142000    4.437370
1944.458870    102.500000    34680.142000    4.444720
1988.672027    102.500000    34680.142000    4.453660
2032.885231    102.500000    34680.142000    4.472360
2077.098534    102.500000    34680.142000    4.501310
2121.311988    102.500000    34680.142000    4.541240
2125.152738    102.500000    34680.142000    4.520670
2169.344426    102.500000    34680.142000    4.564660
2213.536001    102.500000    34680.142000    4.602750
2257.727519    102.500000    34680.142000    4.619920
2301.919035    102.500000    34680.142000    4.620420
2346.110604    102.500000    34680.142000    4.598870
2390.302282    102.500000    34680.142000    4.581100
2434.494123    102.500000    34680.142000    4.576460
2394.158800    102.500000    34680.142000    4.573670
2438.326779    102.500000    34680.142000    4.576590
2482.494609    102.500000    34680.142000    4.577170
